Section,Fonctionnalite,Clenzy_actuel,Hostaway,Guesty,Cible,Evolution_fonctionnelle,Evolution_technique,Multipays_FR_MA_KSA,Composants_Clenzy,Effort,Priorite
3. Calendrier & multi-tenant,Multi-unite / groupes d'unites identiques,"Absent. Pas de concept de room type / unit group : aucune entite unitType/roomType, chaque bien est une unite independante. Pas d'allocation automatique d'une reservation a une sous-unite d'un groupe.",Gestion multi-unit (room types). Confiance Probable.,"Multi-unit : groupes de sous-unites identiques (equipements/taille/prix), calendrier multi-unit avec visibilite prix/occupation, allocation. Source : guesty.com/features/multi-units (2025). Confiance Confirme.",Parite,Creation d'un groupe (ex 5 studios identiques) ; vente par type avec inventaire agrege ; allocation auto d'une reservation a une sous-unite libre ; vue calendrier par groupe + par sous-unite ; bulk edit a l'echelle du groupe.,Entites UnitGroup + lien Property->UnitGroup (+ migration) ; logique d'allocation (sous-unite libre) integree a CalendarEngine.book avec lock par sous-unite et contrainte d'unicite DB (anti-double-booking) ; agregation d'inventaire au booking engine et au channel manager.,Inventaire et prix par devise du groupe ; libelles de type traduits FR/EN/AR ; calendrier de groupe en week-end regional et RTL.,"UnitGroup (entite+migration), CalendarEngine (allocation+lock sous-unite), reuse channel manager (inventaire agrege), planning vue groupe",XL,P2
3. Calendrier & multi-tenant,"Restrictions de sejour (min/max stay, CTA/CTD, gap, preavis)","Present et complet. BookingRestriction : minStay/maxStay, closedToArrival/closedToDeparture, gapDays, advanceNoticeDays, daysOfWeek, priority, fenetre de dates, scope org. BookingRestrictionService + controller + UI planning (usePlanningMinNights).","Restrictions min/max stay, CTA/CTD standard. Confiance Confirme.",Restrictions de sejour completes par listing. Confiance Confirme.,Parite,Edition en masse des restrictions (via bulk) ; resolution claire des priorites en cas de chevauchement ; propagation aux OTA via le channel manager ; previsualisation de l'effet net par jour.,Inclure BookingRestriction dans le payload outbox -> Channex (sync restrictions OTA) ; resoudre l'effet net (priority) dans un service dedie reutilise au booking direct ET a la sync ; integrer aux operations bulk multi-propriete.,Jours de la semaine et week-end regional pris en compte (daysOfWeek pour KSA vendredi/samedi) ; fenetres de dates en timezone propriete ; libelles traduits FR/EN/AR.,"BookingRestrictionService, outbox->Channex (restrictions), resolution priority partagee, integration bulk",M,P1
3. Calendrier & multi-tenant,Synchronisation temps reel et anti-double-booking,"Present et differenciant. CalendarEngine serialise les ecritures par pg_advisory_xact_lock(property_id), write-ahead log (CalendarCommand) et outbox Kafka (topic calendar.updates) -> ChannelSync. Convention CalendarDay (absence de ligne = disponible). Architecture solide contre les conflits.",Sync temps reel calendriers/rates/availability via le channel manager. Confiance Confirme.,Sync multi-canal temps reel + push tous canaux sur les fermetures. Confiance Confirme.,Parite,Indicateur de fraicheur de sync par bien/canal ; alerte si retard de propagation ; reconciliation periodique vs OTA ; trace des commandes (CalendarCommand) consultable.,"Metriques Prometheus sur la file outbox (lag, echecs) ; job de reconciliation comparant CalendarDay vs etat OTA ; pas de catch(Exception) avaleur (echec -> retry/DLT Kafka + alerte admin) ; idempotence des commandes.",Horodatage des commandes en UTC mais affichage en timezone propriete ; pas de specificite devise ; libelles d'alerte traduits FR/EN/AR.,"CalendarEngine, CalendarCommand (WAL), outbox Kafka, metriques Prometheus, job de reconciliation",M,P1
3. Calendrier & multi-tenant,Portail proprietaire (owner portal) cote calendrier,"Partiel. OwnerPortalController expose dashboard + statement (lecture, role HOST/SUPER) ; OwnerPortalPage cote UI. Pas de calendrier proprietaire interactif (vue dispo de ses biens, blocage de dates owner, demande de reservation proprietaire).",Owner portal avec reporting et acces proprietaire. Confiance Probable.,"Owner portal 2025 : mobile responsive, nouveau design, reporting reservation personnalisable, calendrier ameliore. Source : help.guesty.com new releases 2025. Confiance Confirme.",Parite,Calendrier owner de ses logements ; blocage de dates pour usage personnel (validation gestionnaire si requis) ; vue des reservations et revenus ; rapport personnalisable (champs visibles parametres par le gestionnaire) ; mobile responsive.,Endpoints owner scopes par ManagementContract/owner (ownership stricte : valider que le bien appartient au proprietaire) ; ecriture de blocage owner via CalendarEngine.block avec source OWNER ; jamais d'entite JPA exposee (DTO records) ; controller mince delegant au service.,UI owner traduite FR/EN/AR + RTL ; week-end regional dans le calendrier ; revenus dans la devise du bien (EUR/MAD/SAR) ; dates en timezone propriete.,"OwnerPortalController (extension calendrier), OwnerCalendarService, reuse CalendarEngine.block (source OWNER)/ManagementContract, DTO records",L,P1
3. Calendrier & multi-tenant,Isolation multi-tenant des donnees calendrier,"Present et solide. @Filter Hibernate par organization_id sur les entites, TenantFilter post-JWT fail-closed (403), platform staff cross-org. CalendarEngine prend orgId en parametre ; ownership a renforcer sur tous les findById de flux owner/calendrier.",Multi-tenant SaaS (non detaille publiquement). Confiance Probable.,Multi-tenant enterprise. Confiance Probable.,Parite,Aucune fuite cross-org sur les endpoints calendrier/owner ; acces platform staff trace ; verification systematique que la propriete/reservation appartient a l'org du requester.,"Appliquer requireSameOrganization(entity) apres chaque findById dans les flux calendrier (pattern SmartLockService, bypass platform staff inclus) ; tests ArchUnit gardant l'absence de repository en controller ; couverture de tests d'IDOR.",Sans impact devise/RTL direct ; segmentation par pays possible via org ; messages d'erreur d'acces traduits FR/EN/AR.,"TenantFilter, @Filter Hibernate, requireSameOrganization, CalendarEngine (orgId), tests ArchUnit/IDOR",S,P0
3. Calendrier & multi-tenant,Import/export iCal et gestion des liens externes,"Present. Sync iCal (ICalSyncScheduler), validation d'URL (ICalUrlValidator/ICalImportService : HTTPS, blocage RFC 1918), import dans CalendarEngine via linkReservation/block. A maturer : parsing TZID/suffixe Z, mapping fin des statuts importes.",Import/export iCal en complement du channel manager. Confiance Confirme.,iCal supporte en complement. Confiance Confirme.,Parite,"Tableau des feeds iCal par bien (statut, derniere sync, erreurs) ; export iCal par bien protege par token ; diagnostic des conflits a l'import ; resynchronisation manuelle.",Parsing iCal respectant TZID et suffixe Z avec property.getTimezone() (repli Europe/Paris documente) ; FeedUrlMasker.mask sur les logs (jamais de token en clair) ; ecriture via CalendarEngine (lock + outbox) ; idempotence par UID iCal.,Conversion des dates iCal vers la timezone de la propriete (KSA/Maroc inclus) pour eviter le decalage d'un jour ; libelles de diagnostic traduits FR/EN/AR.,"ICalSyncScheduler, ICalImportService/ICalUrlValidator, FeedUrlMasker, CalendarEngine.linkReservation/block",M,P2
3. Calendrier & multi-tenant,Deplacement et reassignation de reservations (drag-drop),Present. CalendarEngine.move (ReservationMove) acquiert les locks des deux proprietes (acquireMoveLocks) pour deplacer une reservation entre biens/dates de maniere transactionnelle ; UI planning drag-drop. Bonne base mono-reservation.,Deplacement de reservations sur la timeline. Confiance Probable.,Reassignation/deplacement dans le multi-calendar. Confiance Probable.,Parite,"Verification de dispo de la cible avant validation ; suggestion automatique d'une sous-unite libre (unit group) ; confirmation d'impact (restrictions, prix) ; historique des deplacements.",Etendre CalendarEngine.move pour controler les restrictions cible et proposer une sous-unite via la logique d'allocation UnitGroup ; conserver l'ordre d'acquisition des locks (eviter les deadlocks) ; outbox sur les deux proprietes ; trace CalendarCommand.,Dates cible evaluees en timezone propriete ; pas d'impact devise direct ; libelles de confirmation traduits FR/EN/AR.,"CalendarEngine.move (extension restrictions/allocation), acquireMoveLocks, reuse UnitGroup, CalendarCommand",M,P2
4. Tarification / Yield,Moteur IA de tarification livre en prod (recommandations dynamiques),"AiPricingService existe (hybride rule-based + LLM Claude) mais derriere feature-flag clenzy.ai.features.pricing-ai=OFF, jamais expose en prod ; aucun pipeline de recommandation visible cote utilisateur","Moteur Dynamic Pricing proprietaire actif (saisonnalite, demande locale, dispo, lead time) ; +25,1% revenu/listing annonce",PriceOptimizer ML natif entraine sur donnees de reservation reelles par la data-science team,Parite,"Activer progressivement l'IA : mode shadow pour mesurer l'ecart vs prix PriceEngine, puis affichage d'une suggestion (prix conseille + justification LLM) sur le calendrier de prix, puis bascule auto-apply borne par les min/max et un cap de variation quotidien ; tableau de bord d'acceptation des recommandations","Promouvoir AiPricingService en service productise : nouveau niveau AI_SUGGESTION lu par PriceEngine sans ecraser RateOverride ; table price_recommendation (property_id, date, suggested_price, base_price, source, accepted) ; job scheduler quotidien TenantScopedExecutor calculant les recos org par org ; flag pricing-ai en enum OFF/SHADOW/RECOMMEND/AUTO par org ; appel LLM Claude hors transaction avec cache","Le prompt LLM et les features rule-based recoivent le pays (week-end regional, evenements Hijri) ; recommandation exprimee en devise locale de la propriete","AiPricingService, PriceEngine, nouveau enum PricingAiMode, table price_recommendation, scheduler TenantScopedExecutor, AnthropicChatProvider",L,P0
4. Tarification / Yield,Architecture de recommandation de prix (shadow / reco / auto),"Aucune couche de recommandation ; PriceEngine resout un prix unique deterministe, pas de notion de prix suggere vs prix applique ni de feedback d'acceptation",Recommandations appliquees automatiquement avec override manuel possible et historique,Recommandations PriceOptimizer avec strategie (conservateur/recommande/agressif) et application planifiee,Parite,"Introduire un objet PriceRecommendation distinct du prix resolu, avec statut (proposee/acceptee/rejetee/expiree), source (RULE/LLM/EXTERNAL) et raison ; UI calendrier affichant prix actuel et delta suggere ; bouton accepter/rejeter par date ou en masse","Service PriceRecommendationService oriente CAS (UPDATE conditionnel sur statut, jamais check-then-act) ; persistance via outbox pour declencher la sync calendrier apres acceptation ; mapping DTO records (pas d'entite JPA exposee) ; validation ownership requireSameOrganization sur chaque acceptation par ID","Le delta de recommandation respecte les arrondis de la devise (MAD/SAR entiers, EUR centimes) via StripeAmounts-like helper","PriceRecommendationService, PriceRecommendation (entite + DTO), outbox calendrier, PriceEngine",M,P0
4. Tarification / Yield,Connecteur Beyond Pricing,"Interface ExternalPricingService definie mais implementation Beyond = stub vide, aucun connecteur fonctionnel en prod",Connecteur Beyond Pricing natif,Connecteur Beyond Pricing natif,Parite,"Permettre a un client de choisir Beyond comme fournisseur de prix externe au meme titre que PriceLabs, depuis l'onglet Integrations ; push des dispo/min-stay vers Beyond et pull des prix recommandes","Implementer BeyondPricingService implements ExternalPricingService (auth API key, mapping listing, circuit breaker resilience4j comme PriceLabs) ; selecteur de provider par org/propriete (enum ExternalPricingProvider) ; webhooks/poll de pull des prix ; appels HTTP hors transaction avec idempotency",Sync des prix Beyond exprimes dans la devise de la propriete ; pas d'impact taxes (Beyond renvoie un prix HT/avant taxes locales),"BeyondPricingService, ExternalPricingService, ExternalPricingProvider enum, resilience4j circuit breaker",M,P1
4. Tarification / Yield,Connecteurs additionnels Wheelhouse / DPGO,Aucun connecteur Wheelhouse ni DPGO ; seul PriceLabs est natif,Wheelhouse et DPGO supportes en plus de PriceLabs et Beyond,Wheelhouse supporte ; large ecosysteme d'integrations pricing,Parite,Offrir un choix de 3-4 moteurs externes pour atteindre la parite d'integration des leaders ; documentation du mapping listing par provider,Generaliser ExternalPricingService en factory par provider (Strategy pattern) ; WheelhousePricingService et DpgoPricingService sur le meme contrat ; registre de providers injecte ; tests de contrat par connecteur,Disponibilite des connecteurs selon couverture marche (PriceLabs/Beyond couvrent FR/MA/KSA ; verifier la couverture data marche par pays avant d'exposer),"ExternalPricingService (factory), WheelhousePricingService, DpgoPricingService, registre de providers",M,P2
4. Tarification / Yield,Donnees marche et comparables (comps) natifs,"Aucune donnee marche ni competitive set proprietaire ; le yield reste interne (occupancy de l'org), comps delegues entierement a PriceLabs (hors UI Clenzy)",Signaux marche et comps exposes dans le moteur,Market data et comps natifs (PriceOptimizer),Parite,"Afficher dans Clenzy un panneau marche (prix median du quartier, fourchette comps, occupancy marche, courbe de pace) plutot que renvoyer l'utilisateur sur l'UI tierce ; alimenter l'IA de recommandation avec ces signaux","MarketDataService consommant les endpoints market data de PriceLabs/Beyond (cache Redis TTL plusieurs heures) ; table market_snapshot (property_id, date, median_price, market_occupancy, source) ; injection des signaux dans le prompt LLM et les features rule-based ; gestion gracieuse de l'absence de couverture par marche","Couverture data variable : forte sur FR, plus inegale sur MA/KSA ; afficher un etat 'donnees marche indisponibles pour cette zone' au lieu d'inventer des comps","MarketDataService, table market_snapshot, cache Redis, PriceLabsService/BeyondPricingService",L,P1
4. Tarification / Yield,Niveau WEEKEND locale-aware (week-end regional par pays),"PriceEngine possede un niveau WEEKEND mais base sur une definition fixe du week-end (implicitement Samedi/Dimanche, zone systeme) sans parametrage par pays",Majoration week-end configurable par jour de la semaine,Majoration week-end par jours configurables,Parite,"Le gestionnaire definit le week-end par marche (ou herite du pays de la propriete) ; la majoration week-end s'applique aux bons jours selon la localisation, evitant de surfacturer un Dimanche en Arabie Saoudite ou de rater le Vendredi","Ajouter weekendDays (Set<DayOfWeek>) sur Property ou derive de country ; le niveau WEEKEND du PriceEngine teste l'appartenance du jour a ce set au lieu d'un SATURDAY/SUNDAY code en dur ; calcul du jour dans la timezone de la propriete (property.getTimezone(), jamais la zone JVM)","FR/MA week-end = Sam/Dim ; KSA week-end = Ven/Sam ; defaut derive du pays, surcharge possible par propriete","PriceEngine (niveau WEEKEND), Property.weekendDays, CountryWeekendResolver, timezone propriete",S,P1
4. Tarification / Yield,Saisonnalite calendrier Hijri (Ramadan / Aid),"Niveau SEASONAL base sur des plages de dates gregoriennes fixes ; aucune notion de calendrier Hijri, donc les periodes Ramadan/Aid (lunaires, decalees ~11 jours/an) doivent etre ressaisies manuellement chaque annee",Saisonnalite par dates ; evenements personnalisables (pas de support Hijri natif documente),Saisonnalite et evenements par dates (pas de support Hijri natif documente),Parite,"Proposer des presets de saison Hijri (ex : -X% pendant Ramadan en zone affaires, +Y% sur Aid et periode Hajj en zones touristiques/Makkah-Madinah) recalcules automatiquement aux dates Hijri de l'annee ; visualisation des periodes Hijri sur le calendrier de prix",HijriCalendarService (java.time.chrono.HijrahChronology / HijrahDate) convertissant les evenements Hijri en plages gregoriennes par annee ; type SeasonalRule etendu avec calendarType=GREGORIAN/HIJRI ; resolution dans la timezone de la propriete ; tolerance d'1 jour (observation lunaire) parametrable,"Pertinent surtout KSA et MA ; FR sans impact ; conversion Hijri -> gregorien recalculee annuellement, repli documente si l'annonce officielle de date differe","HijriCalendarService (HijrahChronology), SeasonalRule.calendarType, PriceEngine (SEASONAL/EVENT), presets par pays",M,P1
4. Tarification / Yield,Injection des taxes par pays dans la simulation de prix,"Taxes (TVA + taxe de sejour) calculees par un FiscalEngine separe, hors pipeline PriceEngine ; le prix resolu est avant taxes, pas de prix TTC simule dans le yield",Taxes auto integrees au flux de prix,Taxes auto integrees au flux de prix,Parite,"Afficher dans la simulation et le devis un prix TTC par pays (TVA hebergement + taxe de sejour) en plus du prix HT ; permettre au gestionnaire de raisonner en cible TTC tout en pilotant un prix HT, ou inversement","PriceSimulationService orchestrant PriceEngine puis FiscalEngine (taux par pays) pour retourner un PriceBreakdownDto (HT, TVA, taxe sejour, TTC) ; BigDecimal compareTo et RoundingMode explicites ; aucune confiance au montant client (serveur recalcule)",FR : TVA hebergement 10% + taxe de sejour communale ; MA : TVA 10% (heberg.) / 20% std + taxe de sejour ~28 MAD/pers/nuit ; KSA : TVA 15% ; affichage TTC obligatoire dans le marche concerne,"PriceSimulationService, FiscalEngine, PriceEngine, PriceBreakdownDto, TaxRateResolver par pays",M,P0
4. Tarification / Yield,Affichage TVA-incluse (TTC) par pays,Pas de mode d'affichage TTC pilote par pays dans le moteur de prix ; la fiscalite est calculee en aval mais le prix yield reste HT cote gestion,Affichage taxes inclus/exclus selon configuration,Gestion de l'affichage taxes selon marche,Parite,"Au Maroc et en Arabie Saoudite, afficher par defaut le prix TTC (attente reglementaire/marche d'un prix all-in) ; en France, choix HT/TTC selon le contexte ; coherence entre PMS, devis et booking engine",PriceDisplayPolicy par pays (TTC par defaut MA/KSA) consommee par le frontend et le booking engine ; calcul TTC via TaxRateResolver ; pas de double arrondi (arrondir une seule fois au niveau affichage),"MA/KSA : TTC par defaut ; FR : configurable ; KSA TVA 15%, MA TVA 10% heberg., FR TVA 10% heberg.","PriceDisplayPolicy, TaxRateResolver, booking engine, calendrier de prix front",S,P1
4. Tarification / Yield,Multi-devise EUR / MAD / SAR dans le pricing,Prix geres dans la devise org (EUR par defaut) ; pas de gestion documentee de MAD/SAR ni des regles d'arrondi propres a chaque devise dans le moteur de prix,Multi-devise supporte,Multi-devise supporte,Parite,"Saisie et pilotage du prix dans la devise locale de la propriete ; affichage convertie optionnel pour le gestionnaire multi-pays ; coherence devise dans recommandations, comps et devis","Currency par propriete (deja partiellement via org) propage au PriceEngine et aux recommandations ; helper d'arrondi par devise (MAD/SAR souvent entiers, EUR 2 decimales) sur le modele de StripeAmounts.toMinorUnits ; BigDecimal compareTo ; taux de change pour l'affichage seulement (jamais pour stocker le prix de reference)","EUR (FR), MAD (Maroc), SAR (Arabie Saoudite) ; le prix de reference reste dans la devise de la propriete, conversion = affichage uniquement","Property.currency, PriceEngine, CurrencyRoundingHelper, taux de change (affichage)",M,P1
4. Tarification / Yield,Recommandations occupancy-based / market-based data-driven,YieldRule OCCUPANCY_THRESHOLD ajuste selon un seuil declaratif mais sans recommandation data-driven (pas de modele de demande appris ni de signal marche),Recommandations basees occupancy et demande locale temps reel,Recommandations ML basees demande et occupancy,Parite,"Passer d'un ajustement par seuil fixe a une suggestion qui croise occupancy de l'org, occupancy marche, pace et lead time ; expliquer la recommandation (pourquoi +/- X%)","Enrichir AiPricingService avec les features occupancy (CalendarEngine), pace (historique de reservations) et market_snapshot ; le LLM/regles produisent une reco avec justification ; calcul org par org via TenantScopedExecutor hors HTTP",Occupancy/pace calcules dans la timezone de la propriete ; signaux marche selon couverture data par pays,"AiPricingService, CalendarEngine, MarketDataService, YieldRule, TenantScopedExecutor",M,P1
4. Tarification / Yield,Jours orphelins / gap-fill explicite avec recommandation,"YieldRule GAP_FILL couvre le remplissage des trous de calendrier mais sans feature nommee 'jours orphelins', sans surlignage calendrier ni recommandation dediee (prix/min-stay)",Orphan/gap pris en charge,Gap nights gere,Parite,"Promouvoir GAP_FILL en feature visible : surlignage des nuits orphelines, suggestion de prix reduit et de min-stay adapte, action en un clic ; alerte si trous frequents",OrphanDayDetector lisant CalendarEngine (gaps < min-stay) ; emet des PriceRecommendation de type GAP ; UI calendrier avec marqueur orphelin ; reutilise la regle GAP_FILL existante en backend,Detection dans la timezone de la propriete ; recommandation en devise locale,"OrphanDayDetector, YieldRule (GAP_FILL), CalendarEngine, PriceRecommendation, calendrier front",S,P2
4. Tarification / Yield,Frais et depots dynamiques (frais de menage variables),"Frais et depots configurables au niveau produit mais non pilotes par le moteur de yield (frais fixes, pas d'ajustement dynamique a la Wheelhouse Dynamic Discounts)",Frais et depots integres au flux de prix,Frais et depots integres au flux de prix,Parite,"Permettre des frais de menage degressifs par duree de sejour ou ajustes en basse saison (logique Dynamic Discounts), refletes dans le prix all-in affiche","FeeRule (par duree/saison) consommee par PriceSimulationService ; integration dans PriceBreakdownDto ; BigDecimal compareTo et arrondis explicites ; le serveur recalcule les frais, jamais le client",Frais soumis a TVA selon le pays (services additionnels au Maroc -> assujettis) ; calcul TTC coherent par pays,"FeeRule, PriceSimulationService, PriceBreakdownDto, FiscalEngine",M,P2
4. Tarification / Yield,Min/max stay dynamique pilote par la demande,Min/max nights statiques configurables (parite de base) ; pas de min-stay dynamique pilote par la demande/pace comme la tendance marche 2025-2026,Dynamic min stay disponible,"Min stay parametrable, orientation dynamique",Parite,"Reduire le min-stay en derniere minute pour combler, l'augmenter sur les pics de demande (week-end, Aid, evenements) ; suggestions visibles et applicables par lot","MinStayRule data-driven dans AiPricingService/YieldRule croisant lead time + pace + calendrier (week-end locale-aware, events Hijri) ; push via outbox vers CalendarEngine et canaux ; calcul timezone propriete",Pics de min-stay alignes sur le week-end regional (Ven/Sam KSA vs Sam/Dim FR-MA) et les periodes Hijri,"MinStayRule, AiPricingService, YieldRule, CalendarEngine, HijriCalendarService, CountryWeekendResolver",M,P2
5. Opérations ménage & maintenance,Déclenchement automatique du ménage au check-out,"ICalCleaningScheduler crée une demande de ménage à la date de check-out + heure par défaut de la propriété (timezone propriété respectée), idempotent, auto-assignation post-commit ; activable via isAutoCreateInterventions().","Tâches déclenchées à la confirmation/au check-out, cleanliness status auto (Clean/Not Clean), rappels au cleaner.","Tâches auto post-checkout (at check-out / 2h avant check-in), notifications instantanées au cleaner.",Differenciation,"Ajouter des règles de déclenchement configurables par org/propriété (events check-in, check-out, mid-stay, annulation) et un déclencheur de ménage récurrent (vacant property refresh) indépendant des réservations.","Généraliser ICalCleaningScheduler en un TaskTriggerEngine évalué sur événements CalendarDay/Reservation via Outbox + Kafka ; table cleaning_trigger_rule (event_type, offset, default_time) résolue avec property.getTimezone() (repli Europe/Paris documenté).",Calcul d'horaire de ménage avec Africa/Casablanca et Asia/Riyadh ; weekend MA/KSA (vendredi-samedi en KSA) pris en compte dans les défauts de planning.,"ICalCleaningScheduler, AutoAssignScheduler, CalendarDay, Reservation, Outbox, Kafka, WorkspaceSettings",M,P2
5. Opérations ménage & maintenance,Auto-assignation géographique (zone + type + disponibilité),"PropertyTeamService.findAvailableTeamForProperty : équipe assignée puis fallback tryGeographicSearch par zone géo + type de service + disponibilité ; retry job 15 min (MAX_AUTO_ASSIGN_RETRIES, autoAssignStatus exhausted).","Auto-assign basique cleaner/équipe, sans routing géographique natif documenté.","Task routing avancé (plan Pro), assignation et notification cleaner.",Differenciation,"Scorer les candidats (proximité, charge du jour, compétence/type, note qualité, coût) plutôt qu'un premier-disponible ; exposer le motif d'assignation au manager pour audit.","Introduire un AssignmentScoringService (Strategy) pondérant les critères, alimenté par TeamCoverageZone + InterventionPlanningService.checkTeamMemberAvailability ; persister le score retenu sur Intervention pour traçabilité.",Zones de couverture par pays (TeamCoverageZone country-scopé) ; ne jamais router une équipe MA sur une propriété KSA sauf règle explicite ; distances calculées sans franchissement de frontière par défaut.,"PropertyTeamService, TeamCoverageZone, InterventionPlanningService, AutoAssignScheduler, Team",M,P2
5. Opérations ménage & maintenance,Ticket d'anomalie de premier ordre (Issue / bon de travail),"Signalement présent mais sans entité métier dédiée : AnomalyReportScreen (housekeeper) + phase photo ISSUE rattachée à l'intervention ; Incident backend = SRE/système, pas un défaut physique de logement.",Signalement d'anomalie / tâche de maintenance standard depuis la tâche.,"Photos avant/après + documentation de dommage, conversion en tâche de maintenance.",Differenciation,"Permettre à un agent terrain de créer une anomalie autonome (catégorie, gravité, photos, propriété/zone) qui devient un bon de travail assignable, suivable cross-intervention et facturable, avec SLA et historique.","Nouvelle entité JPA Issue (org-scopée, requireSameOrganization après findById) + IssueStatus en machine à états (REPORTED→TRIAGED→WORK_ORDER→IN_PROGRESS→RESOLVED→CLOSED), changeset Liquibase NNNN, conversion depuis InterventionPhoto phase ISSUE, IssueService mince + DTO records.","Catégories d'anomalie et libellés SLA traduits fr/en/ar (RTL) ; horodatage et échéances SLA dans la timezone de la propriété (Casablanca/Riyadh), pas la zone JVM.","Issue (nouvelle entité), IssueStatus, IssueService, InterventionPhoto, AnomalyReportScreen, Liquibase changeset",L,P1
5. Opérations ménage & maintenance,Checklists configurables par unité (modèle + UI),"CleaningChecklistScreen propose des templates par pièce codés en dur (items pré-remplis), brouillon MMKV et chronomètre ; pas de configuration par unité côté gestionnaire.",Checklists par tâche configurables (niveau standard).,"Checklists d'items cochables sur mobile, configurables.",Differenciation,"Éditeur de modèles de checklist (sections/pièces, items obligatoires, photo requise, photo de référence attendue) côté gestionnaire, assignable par propriété/type d'intervention, hérité par les missions terrain.","Entités ChecklistTemplate + ChecklistItem (org-scopées) liées à Property/InterventionType, snapshot copié sur l'Intervention à la création (immutabilité d'audit) ; UI web (PageHeaderActionsContext) + écran RN consommant le template au lieu des constantes en dur ; changeset Liquibase.",Items et sections i18n fr/en/ar avec rendu RTL sur mobile ; photos de référence stockées via PhotoStorageService indépendamment de la langue.,"ChecklistTemplate (nouvelle), ChecklistItem, CleaningChecklistScreen, PropertyInventoryService, PhotoStorageService, Liquibase changeset",L,P1
5. Opérations ménage & maintenance,Photos de référence (état attendu),"Photos BEFORE/AFTER/ISSUE natives via InterventionPhoto + PhotoStorageService (max 20), mais pas de photo de référence montrant l'état cible attendu.","Photos de tâche standard, pas de référence documentée.","Photos avant/après, pas de bibliothèque de référence documentée.",Differenciation,"Attacher des photos de référence aux items de checklist ou à la propriété, affichées côté terrain pendant l'exécution pour comparaison, avec photo de preuve obligatoire au check-off.",Phase REFERENCE ajoutée à InterventionPhoto ou table reference_photo liée à ChecklistItem/Property ; rendu côté CleaningChecklistScreen en regard de l'item ; stockage S3/BYTEA via PhotoStorageService existant (pas de nouveau backend de stockage).,Indépendant de la langue (média visuel) ; légendes optionnelles i18n fr/en/ar ; pas d'impact timezone.,"InterventionPhoto, ChecklistItem, PhotoStorageService, CleaningChecklistScreen",M,P2
5. Opérations ménage & maintenance,Optimisation de tournée (ordonnancement des missions du jour),Routing géographique d'assignation présent mais aucun ordonnancement/itinéraire des missions d'un agent ; pas de planning visuel d'optimisation de tournée.,Pas d'optimisation de tournée native documentée.,Pas d'optimisation d'itinéraire native documentée.,Differenciation,"Proposer au gestionnaire et à l'agent un ordre de passage optimisé (heuristique distance + fenêtres check-out/check-in + priorité ménage), réordonnable manuellement, exposé dans le planning et sur l'app terrain.","RouteOptimizationService (heuristique nearest-neighbor + 2-opt sur fenêtres horaires, sans dépendance externe au départ ; option OSRM/distance matrix ultérieure) ; géocodage des propriétés mis en cache (Open-Meteo geocoding ou équivalent) ; sortie ordonnée consommée par TodayMissionsScreen.",Distances et fenêtres calculées en timezone propriété (Casablanca/Riyadh) ; pas d'optimisation transfrontalière par défaut ; unités métriques homogènes FR/MA/KSA.,"RouteOptimizationService (nouveau), InterventionPlanningService, TeamCoverageZone, TodayMissionsScreen, géocodage cache",L,P3
5. Opérations ménage & maintenance,Marketplace / sourcing de prestataires (cleaners + backup auto),"Absent : MarketplaceService est un catalogue d'intégrations (Pennylane, serrures), pas un vivier de cleaners ; pas de sourcing ni de backup automatique.",Marketplace d'intégrations (sourcing cleaners délégué à Turno/Properly).,"Marketplace d'intégrations partenaires, pas de vivier natif.",Differenciation,"Annuaire de prestataires externes (profil, zones, types, tarifs, notes), demande de prestation envoyée à un prestataire hors org, acceptation/refus, et bascule automatique vers un backup si non assigné après N retries.",Entité ServiceProvider (cross-org / annuaire) + invitation et acceptation hors org ; extension de ServiceRequestService.attemptAutoAssign pour cibler des prestataires marketplace avec fallback backup ; verrou pessimiste / UPDATE conditionnel sur l'acceptation (anti double-acceptation) ; changeset Liquibase.,Prestataires filtrés par pays et conformité locale (MA/KSA/FR) ; devises et langues du prestataire i18n ; pas de routing transfrontalier automatique.,"ServiceProvider (nouvelle), ServiceRequestService, AutoAssignScheduler, MarketplaceService, Liquibase changeset",L,P2
5. Opérations ménage & maintenance,Paiement des prestataires intégré,"InterventionPaymentService + ServiceRequestPaymentService et étape de statut AWAITING_PAYMENT ; paiement au prestataire moins fluide que les leaders in-app, recalcul serveur du montant requis.",Paiement des prestataires standard via intégrations.,Paiement standard via intégrations partenaires.,Differenciation,"Déclencher un payout au prestataire à la validation de l'intervention (montant recalculé serveur depuis estimatedCost), avec reçu, statut de paiement et rapprochement comptable.","Réutiliser StripeGateway (RequestOptions + idempotency key), StripeAmounts.toMinorUnits (HALF_UP) et PaymentStatusTransitionService (UPDATE conditionnel anti double-crédit) ; appel Stripe hors transaction DB, effet post-commit via afterCommit ; jamais de montant venant du client.","Devises EUR (FR), MAD (MA), SAR (KSA) gérées par StripeAmounts ; conformité Stripe Connect par pays ; libellés de reçu i18n fr/en/ar.","InterventionPaymentService, StripeGateway, StripeAmounts, PaymentStatusTransitionService, InterventionStatus",M,P2
